affy_probe_id	GSM528691_IFNb18hr_1	GSM528692_IFNb18hr_2	GSM528749_media18hr_1	GSM528750_media18hr_2
1007_s_at	475.0297321	419.2568387	429.6184674	374.680688
1053_at	57.86161818	53.09490057	57.58363017	60.74665073
117_at	8.477161523	7.783349445	9.928456453	9.013358748
121_at	48.05444545	38.84551096	44.17411176	38.49603559
1255_g_at	6.048922934	6.032664098	5.946354288	5.785567641
1294_at	26.88950717	21.86903941	10.79851232	10.54885064
1316_at	7.83997503	6.928204762	7.37417065	7.502875794
1320_at	8.676775066	8.802474722	8.466588227	9.713612515
1405_i_at	5.944691337	6.129785069	6.130355649	5.943582532
1431_at	8.256836381	7.965557757	8.886374253	7.762080534
1438_at	10.47105189	9.634210332	9.004730205	6.983374968
1487_at	32.40341316	33.35458317	40.1144681	35.92633368
1494_f_at	8.11209852	8.23509367	8.455679253	7.985372337
1598_g_at	238.6778057	213.9697735	269.7088219	235.4034345
160020_at	65.98970807	65.34650035	92.72434735	68.92674488
1729_at	110.3080059	88.40480285	82.68601319	73.74584849
1773_at	21.66174542	21.96776216	17.95275986	12.96502424
177_at	9.321224285	10.27585759	8.839650141	8.879023342
179_at	45.37616404	37.30614874	36.9699518	37.91632298
1861_at	41.51319833	32.95968512	58.93244526	61.42888127
200000_s_at	613.5097237	527.6317579	582.2479043	462.0268665
200001_at	875.9588576	716.7972885	1019.351705	913.9674402
200002_at	2987.846598	2895.998379	3174.10465	3258.269219
200003_s_at	4328.744214	4565.276577	4702.600764	4499.057399
200004_at	1705.454134	1867.49901	1979.352604	1769.038031
200005_at	1117.661799	1099.69031	1112.276515	1093.890153
200006_at	2395.237754	2573.09498	2474.790713	2491.934338
200007_at	1837.137002	2146.747981	2107.154778	2149.455847
200008_s_at	1025.632159	1121.741581	903.76921	967.9801073
200009_at	1704.919756	1903.550079	1766.859387	1676.024124
200010_at	4228.720694	4405.168177	4146.836194	4284.846651
200011_s_at	596.7771813	489.104184	577.5636112	466.1529571
200012_x_at	5556.725943	5591.726979	5956.560212	5924.854418
200013_at	3350.01689	3840.443769	3755.727764	3647.800239
200014_s_at	996.8585463	1163.425718	1120.485692	1078.9351
200015_s_at	993.3423729	978.5275448	1107.838609	1034.093307
200016_x_at	2993.574172	3020.321849	3253.690648	3232.744752
200017_at	3761.951637	3955.213795	3790.901302	3841.501619
200018_at	5357.185127	4886.358271	5372.9889	5240.970632
200019_s_at	3585.846709	3474.489871	3787.123302	4182.954811
200020_at	366.1514831	378.0888911	396.2147141	375.2981454
200021_at	5627.386208	4859.138222	5862.889298	6016.110589
200022_at	3673.16492	3651.922893	3874.979092	3809.246422
200023_s_at	1753.058254	1713.284496	2091.84086	2175.723243
200024_at	2944.500451	2863.656727	2953.288377	2999.173816
200025_s_at	4263.185625	4436.649558	4728.279139	4496.330713
200026_at	5773.461502	6042.198777	6155.623238	5759.260223
200027_at	1342.764773	1466.03344	1476.677744	1472.647995
200028_s_at	385.7266934	416.1482027	489.5953105	500.372643
200029_at	5340.948017	5008.741619	5292.115295	5172.022967
200030_s_at	2896.170116	2981.411261	3217.220452	3231.670681
200031_s_at	6313.509844	6587.862275	6421.227887	6477.051446
200032_s_at	6471.875666	6713.141614	6130.017487	6026.378366
200033_at	1427.642467	1535.531825	1442.286427	1417.356541
200034_s_at	4618.401688	4971.772863	5022.283991	4880.31612
200035_at	116.3068583	96.18969026	122.8562037	101.660002
200036_s_at	3400.926	3279.076498	4095.575071	4250.518149
200037_s_at	876.4333358	903.8086918	931.1307586	937.0900257
200038_s_at	5221.674415	5179.146034	5381.839629	5529.176967
200039_s_at	2026.955576	1980.133251	1747.859094	1864.194392
200040_at	509.4778116	556.8228286	617.7503767	581.6787381
200041_s_at	694.3396731	562.8231366	742.8033834	646.0177492
200042_at	345.7018623	393.2741982	398.2378739	384.8378089
200043_at	1574.311592	1522.345776	1627.420942	1427.989986
200044_at	510.4999619	521.0834441	472.1493881	464.9909079
200045_at	179.8000251	176.9368928	211.1410063	186.4512524
200046_at	874.4440127	729.8946151	930.2689588	926.4102379
200047_s_at	801.450717	724.9221082	834.8483786	937.5191243
200048_s_at	482.1984668	499.8331617	512.2929569	562.2707057
200049_at	53.26533872	66.92617679	57.44110153	53.0031284
200050_at	324.0051522	376.6692676	342.8907341	315.2928735
200051_at	96.9340402	87.04660676	118.135276	102.9040159
200052_s_at	463.8145554	449.9416574	445.2046417	402.021471
200053_at	256.8641502	265.7600718	276.2661531	301.1559066
200054_at	130.6955795	144.6621309	154.3914592	132.7222689
200055_at	533.2314809	402.0491359	634.263887	574.835544
200056_s_at	359.2113065	339.4923124	357.0950227	407.4347568
200057_s_at	1561.523144	1577.920039	1648.261758	1519.194274
200058_s_at	310.3436435	291.4254736	317.2435043	268.51564
200059_s_at	3005.540953	3076.50464	3079.66804	2848.852162
200060_s_at	366.4518328	395.7608061	420.6557187	368.5704811
200061_s_at	6410.909318	6694.264713	6652.393471	6536.716926
200062_s_at	4742.765561	5193.560861	5320.90193	5435.423079
200063_s_at	5017.337002	5470.299068	5752.520875	5351.660533
200064_at	2051.13174	2276.870589	2029.157094	1822.726058
200065_s_at	1942.623924	1885.753282	1821.437028	1720.235999
200066_at	300.8393209	316.7941486	250.720308	240.5611004
200067_x_at	1648.877958	1724.629133	1711.811484	1684.517456
200068_s_at	999.0913146	1177.343113	1174.650551	1148.596959
200069_at	51.76440651	59.39490144	65.02698131	55.02177359
200070_at	31.34895712	30.29080376	26.9294041	27.30963194
200071_at	303.8400717	350.6242529	288.1492158	293.3742105
200072_s_at	546.2321365	590.2242127	555.638836	477.0629876
200073_s_at	882.9123518	895.3300477	998.480349	1003.237154
200074_s_at	2268.569065	2381.106762	2277.648518	2326.943918
200075_s_at	841.9626833	762.8246355	760.587374	731.7130417
